ensembl_gene_id_version	ensembl_gene_id	external_gene_name
ENSG00000171060.11	ENSG00000171060	C8orf74
ENSG00000171067.11	ENSG00000171067	C11orf24
ENSG00000171097.14	ENSG00000171097	KYAT1
ENSG00000171102.16	ENSG00000171102	OBP2B
ENSG00000171133.4	ENSG00000171133	OR2K2
ENSG00000171159.5	ENSG00000171159	BBLN
ENSG00000171160.18	ENSG00000171160	MORN4
ENSG00000171169.9	ENSG00000171169	NAIF1
ENSG00000171202.7	ENSG00000171202	TMEM126A
ENSG00000171204.13	ENSG00000171204	TMEM126B
ENSG00000171206.15	ENSG00000171206	TRIM8
ENSG00000171219.9	ENSG00000171219	CDC42BPG
ENSG00000171224.9	ENSG00000171224	FAM241B
ENSG00000171307.19	ENSG00000171307	ZDHHC16
ENSG00000171311.13	ENSG00000171311	EXOSC1
ENSG00000171314.9	ENSG00000171314	PGAM1
ENSG00000171316.14	ENSG00000171316	CHD7
ENSG00000171320.15	ENSG00000171320	ESCO2
ENSG00000171428.15	ENSG00000171428	NAT1
ENSG00000171448.9	ENSG00000171448	ZBTB26
ENSG00000171459.4	ENSG00000171459	OR1L6
ENSG00000171481.5	ENSG00000171481	OR1L3
ENSG00000171496.5	ENSG00000171496	OR1L8
ENSG00000171501.10	ENSG00000171501	OR1N2
ENSG00000171505.5	ENSG00000171505	OR1N1
ENSG00000171533.12	ENSG00000171533	MAP6
ENSG00000171561.4	ENSG00000171561	OR2AT4
ENSG00000171631.16	ENSG00000171631	P2RY6
ENSG00000171681.13	ENSG00000171681	ATF7IP
ENSG00000171711.3	ENSG00000171711	DEFB4A
ENSG00000171714.13	ENSG00000171714	ANO5
ENSG00000171772.17	ENSG00000171772	SYCE1
ENSG00000171792.11	ENSG00000171792	RHNO1
ENSG00000171794.4	ENSG00000171794	UTF1
ENSG00000171798.19	ENSG00000171798	KNDC1
ENSG00000171811.14	ENSG00000171811	CFAP46
ENSG00000171813.14	ENSG00000171813	PWWP2B
ENSG00000171823.7	ENSG00000171823	FBXL14
ENSG00000171840.13	ENSG00000171840	NINJ2
ENSG00000171843.17	ENSG00000171843	MLLT3
ENSG00000171847.11	ENSG00000171847	FAM90A1
ENSG00000171855.7	ENSG00000171855	IFNB1
ENSG00000171860.5	ENSG00000171860	C3AR1
ENSG00000171944.2	ENSG00000171944	OR52A5
ENSG00000171988.20	ENSG00000171988	JMJD1C
ENSG00000172154.11	ENSG00000172154	OR8I2
ENSG00000172159.16	ENSG00000172159	FRMD3
ENSG00000172164.15	ENSG00000172164	SNTB1
ENSG00000172167.8	ENSG00000172167	MTBP
ENSG00000172172.8	ENSG00000172172	MRPL13
ENSG00000172188.6	ENSG00000172188	OR4C11
ENSG00000172199.1	ENSG00000172199	OR8U1
ENSG00000172208.7	ENSG00000172208	OR4X2
ENSG00000172243.18	ENSG00000172243	CLEC7A
ENSG00000172247.4	ENSG00000172247	C1QTNF4
ENSG00000172269.20	ENSG00000172269	DPAGT1
ENSG00000172273.13	ENSG00000172273	HINFP
ENSG00000172289.3	ENSG00000172289	OR10V1
ENSG00000172320.4	ENSG00000172320	OR5A1
ENSG00000172322.14	ENSG00000172322	CLEC12A
ENSG00000172324.6	ENSG00000172324	OR5A2
ENSG00000172350.10	ENSG00000172350	ABCG4
